0.00017 100
0.00017 100
0.00017 100
0.00017 100
0.007102 100
0.007102 100
0.007102 100
0.007102 100
0.01097 100
0.01097 20
0.01097 20
0.01097 100
0.01097 100
0.01097 100
0.01097 20
0.01097 20
0.01097 100
0.01097 100
0.01097 100
0.01097 100
0.017902 100
0.017902 20
0.017902 20
0.017902 100
0.017902 100
0.017902 100
0.017902 20
0.017902 20
0.017902 100
0.017902 100
0.02113 20
0.02113 20
0.02177 100
0.02177 20
0.02177 20
0.02177 100
0.02177 100
0.02177 100
0.02177 20
0.02177 20
0.02177 100
0.02177 100
0.02177 100
0.02177 20
0.02177 20
0.02177 100
0.02177 100
0.02177 100
0.02177 100
0.028062 20
0.028062 20
0.028702 100
0.028702 20
0.028702 20
0.028702 100
0.028702 100
0.028702 100
0.028702 20
0.028702 20
0.028702 100
0.028702 100
0.03193 20
0.03193 20
0.03193 20
0.03257 100
0.03257 20
0.03257 20
0.03257 100
0.03257 100
0.03257 100
0.03257 20
0.03257 20
0.03257 100
0.03257 100
0.03257 100
0.03257 20
0.03257 20
0.03257 100
0.03257 100
0.03257 100
0.03257 20
0.03257 20
0.03257 100
0.03257 100
0.038862 20
0.038862 20
0.039502 100
0.039502 20
0.039502 20
0.039502 100
0.039502 100
0.039502 100
0.039502 100
0.039502 100
0.039502 20
0.039502 20
0.039502 100
0.039502 100
0.04273 20
0.04273 20
0.04273 20
0.04273 20
0.04337 100
0.04337 20
0.04337 20
0.04337 100
0.04337 100
0.04337 100
0.04337 20
0.04337 20
0.04337 100
0.04337 20
0.04337 20
0.04337 100
0.04337 20
0.04337 20
0.04337 100
0.04337 100
0.044061 100
0.044061 100
0.044061 100
0.044061 100
0.049662 20
0.049662 20
0.050302 100
0.050302 20
0.050302 20
0.050302 100
0.050302 100
0.050302 100
0.050302 20
0.050302 20
0.050302 100
0.050302 100
0.050302 100
0.050302 100
0.050302 100
0.050302 20
0.050302 20
0.050302 100
0.050302 100
0.05353 20
0.05353 20
0.05353 20
0.05353 20
0.05417 100
0.05417 20
0.05417 20
0.05417 100
0.05417 20
0.05417 20
0.054861 100
0.054861 20
0.054861 20
0.054861 100
0.054861 100
0.054861 100
0.054861 20
0.054861 20
0.054861 100
0.054861 100
0.054861 100
0.054861 100
0.060462 20
0.060462 20
0.060462 20
0.061102 100
0.061102 20
0.061102 20
0.061102 100
0.061102 100
0.061102 100
